sentence;class
Участники ;0
План работы ;0
 ЗАКЛЮЧЕНИЕ ;0
Участники;0
Киреев Илья Игоревич;0
Интересы в разработке ПО;0
создание архитектуры мобильного приложения, Написание UI, Android и его структура;0
Выполнил следующие задачи;0
Создал и определил удобный пользовательский интерфейс с логикой функционала;1
Перенёс и адаптировал с примера клиент-сервера, которую написали Плотских П.В;0
и Сафиуллин З.Р., клиентскую часть на Android с помощью okHttp;0
Организация команды и проведение локальных встреч между участниками;0
Внёс в проект идею, написал пользовательский интерфейс и его логику и организовывал всех;1
Выступал, защищая проект;0
Столкнулся с проблемами поиска решения и адаптации клиентской части, решил с помощью поиска на англоязычных сайтах и в других поисковых системах, как пример;0
DuckDuckGo;0
Сафиуллин Заур Ракипович;0
Интересы;0
алгоритмические задачи, gamedev;0
Выполняемые задачи были связаны с классификатором;0
Создал приложение для создания собственного набора изображений рук;1
Изучил алгоритмы классификаций, которые указаны в главе ., и среди них определил подходящий для задачи;1
Изучил написание веб-серверов с помощью flask и передачи http запросов и применил знания в проекте;1
Возникшие проблемы;0
 отсутствие дата сета для обучения классификатора;0
Решилось через создание собственного дата сета;0
 создание связи между приложением на языке программирования kotlin и алгоритм классификации на python;0
Решились с помощью использования клиент-серверной архитектуры;0
Плотских Павел Вячеславович;0
Выполнял задачи вместе с Сафиуллиным З.Р., помогал в написании классификатора, а именно написал часть с поиском руки на фотографии;0
Протестировал различные классификаторы на имеющихся данных и выбрал наиболее подходящий;1
До выбора клиент-серверной архитектуры изучал вопросы о том, как совместить Kotlin и Python;1
Возникнувшие проблемы;0
была проблема нахождения руки на изображении, нашёл замечательный фреймворк, который помог нам с этим;0
Была проблема с тем, что фреймворк отдавал координаты относительно самого изображения, рука могла быть в любом месте, любого размера и данные в зависимости от этого всегда были разными;0
Была проблема с переноса кода на Kotlin, т.к;0
классификатор на Python, в итоге решили передавать изображение на сервер, там классифицировать и возвращать ответ на мобильное устройство;0
Кулдарев Илья Владимирович;0
Интересы;0
Базы данных ;0
Верстка  Программирование ;0
Выполнял задачи по проекту;0
Находил информацию, необходимую для реализации проекта, а в точности поиск, и информацию о классификаторах, и поиск готового набора жестов русского алфавита;1
Создание собственного набора изображений жестов из открытых источников и предварительная обработка их перед классификации;1
Присоединился к Кирееву И.И;0
для помощи в написании визуальной части приложения;0
Возникшие проблемы;0
 Нехватка времени на поставленные задачи;0
Решилось правильным распределением задач;0
 Нет датасетов русского жестового языка в открытом доступе, после стольких дней поиска;0
Решилась, созданием собственного датасета, с помощью программы, которую написал Сафиуллин З.Р.;0
На начальном этапе разработки занимался поиском информации и готовых датасетов, после помогал в разработке пользовательского интерфейса;0
План работы;0
Для организации и мониторинга задач было решено использовать таблицу Ганта т.к;0
она удобна и все задачи наглядно видны Рис;0
Рисунок ;0
Таблица Ганта в Google Tables с легендой;0
Регулярно проводились не только встречи с научным руководителем, где мы показывали свои текущие разработки, рассказывали о текущих задачах и информировались насчёт дальнейших действий и встреч, но и локальные встречи между участниками для того, чтобы обсудить три вещи;0
сделанные задачи, текущее состояние, поставить задачи исходя из прошлых ух пунктов;0
Также на этих встречах мы ставили следующие встречи исходя по возможности участников;0
На одной из таких встреч были -курсники, которые помогли нам с решением передачи фотографии пользователя в классификатор с помощью идеи - клиент-серверной архитектуры;0
ЗАКЛЮЧЕНИЕ;0
